iter	Passed	Remaining
341	115272	163133
342	115585	162763
343	115914	162414
344	116238	162060
345	116551	161690
346	116879	161340
347	117193	160972
348	117527	160632
349	117861	160292
350	118176	159924
351	118501	159573
352	118855	159259
353	119168	158891
354	119499	158547
355	119843	158220
356	120204	157915
357	120526	157559
358	120848	157203
359	121178	156858
360	121509	156514
361	121863	156200
362	122206	155871
363	122549	155543
364	122886	155207
365	123206	154849
366	123527	154492
367	123854	154144
368	124178	153792
369	124488	153423
370	124820	153081
371	125153	152740
372	125473	152385
373	125803	152040
374	126124	151686
375	126432	151315
376	126754	150962
377	127083	150617
378	127407	150266
379	127727	149912
380	128051	149561
381	128370	149205
382	128690	148851
383	129023	148511
384	129344	148158
385	129676	147817
386	130001	147469
387	130316	147110
388	130627	146746
389	130944	146389
390	131276	146049
391	131614	145716
392	131935	145363
393	132276	145034
394	132594	144679
395	132916	144329
396	133263	144004
397	133618	143690
398	133967	143368
399	134294	143023
400	134616	142673
401	134963	142349
402	135294	142009
403	135614	141656
404	135948	141319
405	136261	140960
406	136575	140602
407	136913	140269
408	137246	139930
409	137569	139582
410	137964	139307
411	138293	138965
412	138611	138611
413	138970	138298
414	139434	138090
415	139823	137806
416	140211	137521
417	140585	137222
418	141027	136988
419	141460	136745
420	141896	136503
421	142219	136153
422	142537	135798
423	142887	135473
424	143208	135121
425	143520	134761
426	143850	134417
427	144183	134077
428	144503	133724
429	144831	133380
430	145167	133041
431	145491	132693
432	145815	132345
433	146154	132010
434	146470	131655
435	146790	131303
436	147116	130957
437	147438	130607
438	147770	130266
439	148092	129917
440	148409	129563
441	148726	129209
442	149060	128871
443	149382	128523
444	149778	128237
445	150110	127896
446	150500	127605
447	150846	127276
448	151174	126932
449	151490	126579
450	151829	126244
451	152163	125905
452	152493	125563
453	152830	125226
454	153160	124884
455	153484	124537
456	153811	124193
457	154173	123877
458	154518	123547
459	154873	123225
460	155230	122904
461	155568	122568
462	155911	122237
463	156238	121892
464	156585	121564
465	156945	121245
466	157304	120925
467	157642	120589
468	157985	120257
469	158332	119928
470	158665	119588
471	159040	119280
472	159369	118937
473	159693	118590
474	160015	118243
475	160336	117894
476	160667	117553
477	160991	117207
478	161327	116869
479	161647	116520
480	161976	116178
481	162304	115835
482	162644	115500
483	162970	115157
484	163302	114817
485	163663	114497
486	164002	114162
487	164371	113847
488	164705	113508
489	165038	113169
490	165350	112815
491	165675	112470
492	166000	112126
493	166332	111786
494	166647	111434
495	166960	111082
496	167285	110738
497	167603	110389
498	167929	110046
499	168251	109699
500	168572	109353
501	168886	109002
502	169211	108658
503	169550	108323
504	169872	107978
505	170208	107641
506	170543	107304
507	170862	106957
508	171188	106614
509	171510	106269
510	171824	105918
511	172174	105591
512	172491	105243
513	172827	104906
514	173150	104562
515	173469	104216
516	173795	103873
517	174125	103533
518	174440	103185
519	174754	102836
520	175090	102500
521	175420	102160
522	175733	101811
523	176047	101462
524	176388	101129
525	176702	100781
526	177029	100439
527	177364	100103
528	177687	99760
529	178003	99413
530	178327	99070
531	178667	98737
532	178988	98393
533	179312	98051
534	179638	97709
535	179983	97379
536	180315	97041
537	180633	96696
538	180960	96355
539	181301	96022
540	181626	95681
541	181957	95342
542	182375	95050
543	182712	94714
544	183031	94370
545	183373	94037
546	183699	93696
547	184032	93359
548	184370	93024
549	184700	92686
550	185028	92346
551	185366	92011
552	185678	91663
553	186016	91329
554	186356	90995
555	186674	90651
556	187027	90323
557	187385	89998
558	187716	89660
559	188048	89322
560	188368	88980
561	188688	88636
562	189019	88298
563	189366	87967
564	189698	87630
565	190025	87290
566	190349	86949
567	190671	86608
568	190999	86268
569	191326	85929
570	191647	85586
571	191978	85249
572	192324	84917
573	192662	84583
574	192979	84239
575	193312	83902
576	193636	83562
577	193991	83235
578	194360	82913
579	194707	82582
580	195061	82254
581	195418	81928
582	195771	81599
583	196115	81267
584	196449	80930
585	196784	80594
586	197128	80261
587	197468	79927
588	197811	79594
589	198145	79258
590	198499	78929
591	198851	78599
592	199302	78309
593	199708	78000
594	200088	77681
595	200476	77365
596	200961	77085
597	201378	76779
598	201764	76461
599	202107	76127
600	202451	75792
601	202762	75446
602	203090	75106
603	203411	74763
604	203731	74420
605	204056	74079
606	204375	73736
607	204695	73394
608	204999	73045
609	205307	72699
610	205633	72358
611	205944	72013
612	206243	71663
613	206575	71325
614	206892	70982
615	207199	70636
616	207519	70294
617	207837	69951
618	208151	69608
619	208464	69264
620	208779	68920
621	209090	68576
622	209470	68254
623	209794	67914
624	210099	67568
625	210403	67221
626	210723	66880
627	211046	66539
628	211364	66198
629	211699	65861
630	212002	65515
631	212310	65171
632	212653	64837
633	212972	64496
634	213281	64152
635	213617	63816
636	213946	63478
637	214246	63132
638	214557	62788
639	214868	62446
640	215165	62099
641	215484	61758
642	215795	61416
643	216112	61075
644	216430	60734
645	216758	60396
646	217082	60058
647	217414	59721
648	217772	59392
649	218134	59064
650	218526	58743
651	218862	58408
652	219182	58068
653	219494	57726
654	219812	57386
655	220126	57044
656	220470	56711
657	220803	56375
658	221141	56040
659	221491	55708
660	221851	55378
661	222177	55040
662	222527	54708
663	222885	54378
664	223215	54041
665	223523	53699
666	223872	53367
667	224221	53034
668	224609	52711
669	224966	52380
670	225314	52047
671	225633	51707
672	225951	51367
673	226256	51025
674	226580	50686
675	226917	50351
676	227238	50012
677	227559	49673
678	227883	49335
679	228201	48996
680	228512	48655
681	228835	48317
682	229174	47982
683	229499	47644
684	229846	47311
685	230167	46972
686	230481	46633
687	230811	46296
688	231126	45956
689	231439	45616
690	231774	45281
691	232084	44941
692	232399	44601
693	232732	44266
694	233054	43928
695	233375	43590
696	233691	43251
697	234009	42912
698	234346	42577
699	234664	42239
700	234979	41900
701	235291	41561
702	235595	41220
703	235915	40883
704	236226	40543
705	236552	40207
706	236874	39869
707	237193	39532
708	237505	39193
709	237821	38855
710	238130	38516
711	238465	38181
712	238829	37850
713	239178	37518
714	239512	37183
715	239844	36847
716	240162	36510
717	240473	36171
718	240788	35833
719	241108	35496
720	241430	35159
721	241756	34823
722	242071	34486
723	242383	34147
724	242707	33811
725	243035	33475
726	243348	33138
727	243671	32801
728	244004	32467
729	244322	32130
730	244631	31792
731	244957	31456
732	245263	31117
733	245563	30779
734	245885	30442
735	246194	30105
736	246517	29769
737	246842	29433
738	247148	29095
739	247452	28757
740	247779	28422
741	248112	28088
742	248414	27750
743	248741	27415
744	249070	27080
745	249388	26744
746	249691	26406
747	250014	26070
748	250316	25733
749	250683	25402
750	251001	25066
751	251308	24729
752	251631	24394
753	251942	24058
754	252246	23721
755	252563	23385
756	252914	23053
757	253225	22716
758	253530	22380
759	253852	22045
760	254178	21710
761	254522	21377
762	254892	21046
763	255210	20710
764	255510	20374
765	255826	20038
766	256148	19703
767	256457	19367
768	256770	19032
769	257110	18698
770	257433	18364
771	257753	18029
772	258065	17693
773	258366	17357
774	258702	17024
775	259156	16698
776	259517	16365
777	259920	16036
778	260289	15704
779	260749	15377
780	261177	15048
781	261550	14716
782	261861	14380
783	262171	14044
784	262483	13709
785	262831	13375
786	263156	13040
787	263457	12704
788	263759	12368
789	264083	12034
790	264404	11699
791	264719	11364
792	265034	11029
793	265354	10694
794	265668	10359
795	265991	10024
796	266306	9689
797	266622	9355
798	266955	9021
799	267277	8686
800	267592	8351
801	267914	8017
802	268243	7683
803	268548	7348
804	268862	7013
805	269181	6679
806	269555	6346
807	269878	6012
808	270269	5679
809	270597	5345
810	270937	5011
811	271259	4676
812	271569	4342
813	271879	4008
814	272201	3673
815	272515	3339
816	272846	3005
817	273182	2671
818	273504	2337
819	273815	2003
820	274127	1669
821	274427	1335
822	274731	1001
823	275062	667
824	275378	333
825	275706	0
